,Pattern,Hidden Layers,Learning Rate,Dropout Ratio,System Performance
0,211,20,0.01,0.1,83.69564819335938
1,132,10,1e-05,0.3,83.15217590332031
2,112,10,0.01,0.3,78.80435180664062
3,222,20,0.005,0.3,84.23912811279297
4,131,10,1e-05,0.1,78.80435180664062
5,133,10,1e-05,0.5,42.39130401611328
6,323,30,0.005,0.5,79.89130401611328
7,131,10,1e-05,0.1,80.97826385498047
8,231,20,1e-05,0.1,57.60869216918945
9,221,20,0.005,0.1,82.06521606445312
10,332,30,1e-05,0.3,57.60869216918945
11,233,20,1e-05,0.5,42.39130401611328
12,222,20,0.005,0.3,84.23912811279297
13,223,20,0.005,0.5,84.78260803222656
14,321,30,0.005,0.1,86.41304016113281
15,133,10,1e-05,0.5,42.39130401611328
16,322,30,0.005,0.3,83.15217590332031
17,213,20,0.01,0.5,81.52173614501953
18,132,10,1e-05,0.3,57.60869216918945
19,123,10,0.005,0.5,82.60869598388672
20,221,20,0.005,0.1,83.69564819335938
21,131,10,1e-05,0.1,57.60869216918945
22,231,20,1e-05,0.1,57.60869216918945
23,132,10,1e-05,0.3,57.60869216918945
24,112,10,0.01,0.3,84.23912811279297
25,322,30,0.005,0.3,80.97826385498047
26,212,20,0.01,0.3,83.15217590332031
27,212,20,0.01,0.3,80.97826385498047
28,112,10,0.01,0.3,82.06521606445312
29,333,30,1e-05,0.5,57.60869216918945
30,211,20,0.01,0.1,79.34782409667969
31,312,30,0.01,0.3,57.60869216918945
32,211,20,0.01,0.1,84.78260803222656
33,333,30,1e-05,0.5,57.60869216918945
34,133,10,1e-05,0.5,47.28260803222656
35,333,30,1e-05,0.5,57.60869216918945
36,311,30,0.01,0.1,77.71739196777344
37,331,30,1e-05,0.1,57.60869216918945
38,332,30,1e-05,0.3,57.60869216918945
39,332,30,1e-05,0.3,57.60869216918945
40,331,30,1e-05,0.1,57.60869216918945
41,323,30,0.005,0.5,73.91304016113281
42,232,20,1e-05,0.3,57.60869216918945
43,232,20,1e-05,0.3,57.60869216918945
44,231,20,1e-05,0.1,57.60869216918945
45,131,10,1e-05,0.1,71.73912811279297
46,233,20,1e-05,0.5,57.60869216918945
47,122,10,0.005,0.3,82.06521606445312
48,312,30,0.01,0.3,79.34782409667969
49,232,20,1e-05,0.3,57.60869216918945
50,123,10,0.005,0.5,79.89130401611328
51,222,20,0.005,0.3,84.78260803222656
52,233,20,1e-05,0.5,57.60869216918945
53,113,10,0.01,0.5,79.89130401611328
54,312,30,0.01,0.3,61.956520080566406
55,223,20,0.005,0.5,83.15217590332031
56,323,30,0.005,0.5,83.15217590332031
57,313,30,0.01,0.5,57.60869216918945
58,121,10,0.005,0.1,84.23912811279297
59,133,10,1e-05,0.5,57.60869216918945
60,121,10,0.005,0.1,83.15217590332031
61,313,30,0.01,0.5,57.60869216918945
62,111,10,0.01,0.1,83.15217590332031
63,321,30,0.005,0.1,77.71739196777344
64,111,10,0.01,0.1,83.69564819335938
65,113,10,0.01,0.5,76.08695983886719
66,212,20,0.01,0.3,84.78260803222656
67,311,30,0.01,0.1,81.52173614501953
68,121,10,0.005,0.1,84.23912811279297
69,311,30,0.01,0.1,80.43478393554688
70,323,30,0.005,0.5,80.97826385498047
71,122,10,0.005,0.3,81.52173614501953
72,122,10,0.005,0.3,83.69564819335938
73,111,10,0.01,0.1,84.78260803222656
74,231,20,1e-05,0.1,57.60869216918945
75,121,10,0.005,0.1,82.60869598388672
76,223,20,0.005,0.5,83.15217590332031
77,313,30,0.01,0.5,57.60869216918945
78,321,30,0.005,0.1,80.97826385498047
79,211,20,0.01,0.1,83.15217590332031
80,213,20,0.01,0.5,65.21739196777344
81,311,30,0.01,0.1,57.06521987915039
82,212,20,0.01,0.3,79.89130401611328
83,221,20,0.005,0.1,83.15217590332031
84,213,20,0.01,0.5,85.86956024169922
85,213,20,0.01,0.5,76.08695983886719
86,123,10,0.005,0.5,82.06521606445312
87,331,30,1e-05,0.1,42.39130401611328
88,332,30,1e-05,0.3,57.60869216918945
89,322,30,0.005,0.3,85.32608795166016
90,321,30,0.005,0.1,79.89130401611328
91,112,10,0.01,0.3,85.32608795166016
92,313,30,0.01,0.5,57.60869216918945
93,132,10,1e-05,0.3,73.36956024169922
94,222,20,0.005,0.3,83.69564819335938
95,113,10,0.01,0.5,83.15217590332031
96,221,20,0.005,0.1,82.60869598388672
97,113,10,0.01,0.5,83.15217590332031
98,223,20,0.005,0.5,85.32608795166016
99,111,10,0.01,0.1,84.78260803222656
100,232,20,1e-05,0.3,57.60869216918945
101,312,30,0.01,0.3,57.60869216918945
102,333,30,1e-05,0.5,57.60869216918945
103,322,30,0.005,0.3,82.06521606445312
104,331,30,1e-05,0.1,57.60869216918945
105,122,10,0.005,0.3,82.60869598388672
106,233,20,1e-05,0.5,57.60869216918945
107,123,10,0.005,0.5,82.60869598388672
