,Pattern,Hidden Layers,Learning Rate,Dropout Ratio,System Performance
0,211,20,0.01,0.1,-0.05904076248407364
1,132,10,1e-05,0.3,-0.778668999671936
2,112,10,0.01,0.3,0.017322838306427002
3,222,20,0.005,0.3,0.0023944806307554245
4,131,10,1e-05,0.1,-0.6064262390136719
5,133,10,1e-05,0.5,-1.3599793910980225
6,323,30,0.005,0.5,-0.07191923260688782
7,131,10,1e-05,0.1,-0.6645974516868591
8,231,20,1e-05,0.1,-0.5259881615638733
9,221,20,0.005,0.1,0.0016057122265920043
10,332,30,1e-05,0.3,-1.3532757759094238
11,233,20,1e-05,0.5,-2.406351089477539
12,222,20,0.005,0.3,-0.1034519374370575
13,223,20,0.005,0.5,-0.10858553647994995
14,321,30,0.005,0.1,0.2078413963317871
15,133,10,1e-05,0.5,-2.6239612102508545
16,322,30,0.005,0.3,0.0875454992055893
17,213,20,0.01,0.5,0.02849709428846836
18,132,10,1e-05,0.3,-0.819742739200592
19,123,10,0.005,0.5,-0.15471088886260986
20,221,20,0.005,0.1,-0.06691567599773407
21,131,10,1e-05,0.1,-0.5512368083000183
22,231,20,1e-05,0.1,-0.369782030582428
23,132,10,1e-05,0.3,-0.890082597732544
24,112,10,0.01,0.3,-0.02013331465423107
25,322,30,0.005,0.3,-0.04865311458706856
26,212,20,0.01,0.3,-0.19379432499408722
27,212,20,0.01,0.3,0.21755053102970123
28,112,10,0.01,0.3,0.011642536148428917
29,333,30,1e-05,0.5,-2.604996919631958
30,211,20,0.01,0.1,-0.34252452850341797
31,312,30,0.01,0.3,-0.09603013098239899
32,211,20,0.01,0.1,-0.19441074132919312
33,333,30,1e-05,0.5,-2.292715072631836
34,133,10,1e-05,0.5,-2.977736234664917
35,333,30,1e-05,0.5,-2.854647636413574
36,311,30,0.01,0.1,0.005302907433360815
37,331,30,1e-05,0.1,-0.489778071641922
38,332,30,1e-05,0.3,-1.6432404518127441
39,332,30,1e-05,0.3,-1.7834563255310059
40,331,30,1e-05,0.1,-0.7027590870857239
41,323,30,0.005,0.5,-0.10314662009477615
42,232,20,1e-05,0.3,-1.4091897010803223
43,232,20,1e-05,0.3,-1.4762229919433594
44,231,20,1e-05,0.1,-0.6196798086166382
45,131,10,1e-05,0.1,-0.6806325316429138
46,233,20,1e-05,0.5,-2.513416290283203
47,122,10,0.005,0.3,-0.15276280045509338
48,312,30,0.01,0.3,-0.09729960560798645
49,232,20,1e-05,0.3,-1.356431484222412
50,123,10,0.005,0.5,-0.013970174826681614
51,222,20,0.005,0.3,-0.04119672626256943
52,233,20,1e-05,0.5,-2.486424207687378
53,113,10,0.01,0.5,-0.13002552092075348
54,312,30,0.01,0.3,-0.07888475060462952
55,223,20,0.005,0.5,-0.21181251108646393
56,323,30,0.005,0.5,-0.11331619322299957
57,313,30,0.01,0.5,0.012439422309398651
58,121,10,0.005,0.1,0.0857718363404274
59,133,10,1e-05,0.5,-1.398252010345459
60,121,10,0.005,0.1,0.02640615962445736
61,313,30,0.01,0.5,-0.026164112612605095
62,111,10,0.01,0.1,0.09645693004131317
63,321,30,0.005,0.1,0.017421476542949677
64,111,10,0.01,0.1,-0.08054587990045547
65,113,10,0.01,0.5,0.0070770513266325
66,212,20,0.01,0.3,-0.04351392760872841
67,311,30,0.01,0.1,-0.34691324830055237
68,121,10,0.005,0.1,-0.15429461002349854
69,311,30,0.01,0.1,-0.3244139850139618
70,323,30,0.005,0.5,-0.06151852756738663
71,122,10,0.005,0.3,-0.07436972856521606
72,122,10,0.005,0.3,0.16735096275806427
73,111,10,0.01,0.1,-0.06140313297510147
74,231,20,1e-05,0.1,-0.4093885123729706
75,121,10,0.005,0.1,-0.0584176741540432
76,223,20,0.005,0.5,-0.06498317420482635
77,313,30,0.01,0.5,-0.04160037636756897
78,321,30,0.005,0.1,-0.1460365653038025
79,211,20,0.01,0.1,0.011153892613947392
80,213,20,0.01,0.5,0.08718334138393402
81,311,30,0.01,0.1,-0.059806641191244125
82,212,20,0.01,0.3,0.02971811592578888
83,221,20,0.005,0.1,0.015694040805101395
84,213,20,0.01,0.5,-0.07835653424263
85,213,20,0.01,0.5,-0.14228133857250214
86,123,10,0.005,0.5,-0.1091582179069519
87,331,30,1e-05,0.1,-0.7748715281486511
88,332,30,1e-05,0.3,-1.9140214920043945
89,322,30,0.005,0.3,0.015453070402145386
90,321,30,0.005,0.1,0.014074084348976612
91,112,10,0.01,0.3,-0.001129684504121542
92,313,30,0.01,0.5,0.09879278391599655
93,132,10,1e-05,0.3,-0.8146530389785767
94,222,20,0.005,0.3,-0.21271103620529175
95,113,10,0.01,0.5,-0.2514595687389374
96,221,20,0.005,0.1,-0.019826721400022507
97,113,10,0.01,0.5,0.10912501066923141
98,223,20,0.005,0.5,0.03421921283006668
99,111,10,0.01,0.1,0.04051000624895096
100,232,20,1e-05,0.3,-1.215821385383606
101,312,30,0.01,0.3,-0.3897798955440521
102,333,30,1e-05,0.5,-2.8275234699249268
103,322,30,0.005,0.3,-0.02799307368695736
104,331,30,1e-05,0.1,-0.542411208152771
105,122,10,0.005,0.3,-0.08489992469549179
106,233,20,1e-05,0.5,-2.4330708980560303
107,123,10,0.005,0.5,-0.12118928134441376
